,target,prime,RT,RT_std,acc,acc_std,path sim
1876,neighborhood,suburb,586.1929824561404,135.8317549918295,0.9824561403508771,0.13245323570650439,0.1428571428571428
1877,neighborhood,scarcity,548.5643564356436,148.94491705604352,0.9900990099009901,0.09950371902099887,0.0666666666666666
1878,neighborhood,community,553.8695652173913,148.0047459743027,1.0,0.0,0.0769230769230769
1879,tile,roof,546.1395348837209,242.10914317576345,0.9302325581395349,0.25776963111323353,0.1428571428571428
1880,tile,three,733.0,,1.0,,0.0666666666666666
1881,tile,basement,548.9,220.06120031495323,0.9142857142857143,0.2819629507400965,0.1428571428571428
1882,tile,friendship,540.09375,220.80068716464845,0.921875,0.27048970875004197,0.0769230769230769
1883,tile,floor,527.09375,128.55543165473992,0.984375,0.125,0.1428571428571428
1884,robbery,burglary,554.9333333333333,174.88728837844002,1.0,0.0,0.25
1885,robbery,attorney,794.0,,1.0,,0.0555555555555555
1886,robbery,burglar,531.6756756756756,75.25145035665945,1.0,0.0,0.0476190476190476
1887,robbery,obstacle,629.1979166666666,383.50441210092646,0.9791666666666666,0.14357588616379596,0.0666666666666666
1888,robbery,return,527.3833333333333,123.57144254409826,1.0,0.0,0.0588235294117647
1889,bump,lump,521.4324324324324,161.75247560196217,1.0,0.0,0.0769230769230769
1890,bump,sew,811.0,,1.0,,0.0666666666666666
1891,bump,grind,538.2560975609756,166.6104950509606,0.975609756097561,0.15520673239323957,0.0666666666666666
1892,bump,tank,532.8028169014085,179.82631459417482,1.0,0.0,0.0526315789473684
1893,bump,condemn,593.2363636363636,184.37652333445914,1.0,0.0,0.0555555555555555
1894,alert,awareness,520.7611940298508,172.39877043365928,0.9850746268656716,0.12216944435630521,0.0909090909090909
1895,alert,after,564.0,,1.0,,0.125
1896,alert,notify,534.9375,150.85648335894805,1.0,0.0,0.0833333333333333
1897,alert,reappear,502.78,146.61072851018002,0.98,0.14142135623730948,0.1111111111111111
1898,alert,distinct,492.3809523809524,133.5893356487648,1.0,0.0,0.125
1899,snake,moat,509.48275862068965,133.65906370895596,1.0,0.0,0.0714285714285714
1900,snake,spell,587.0,,1.0,,0.0555555555555555
1901,snake,chimpanzee,552.7746478873239,251.97194839239535,1.0,0.0,0.0909090909090909
1902,snake,cobra,552.3015873015873,190.6598588367079,0.9841269841269841,0.1259881576697424,0.3333333333333333
1903,snake,poison,527.0,127.56243143278306,1.0,0.0,0.0714285714285714
1904,fold,crease,529.2253521126761,115.52540811231572,1.0,0.0,1.0
1905,fold,napkin,536.5,149.93557095831693,1.0,0.0,0.0625
1906,fold,aright,570.8666666666667,144.24565572453923,1.0,0.0,0.125
1907,fold,alright,522.0444444444445,149.0956001356109,1.0,0.0,0.125
1908,fold,grace,523.7352941176471,199.5691281195459,1.0,0.0,0.1666666666666666
1909,can,expense,500.54545454545456,140.50571682081173,1.0,0.0,0.0666666666666666
1910,can,chalk,508.0,,1.0,,0.0714285714285714
1911,can,opener,521.825,118.1580617821,1.0,0.0,0.0666666666666666
1912,can,greek,567.7,249.20941435545697,1.0,0.0,0.0714285714285714
1913,can,empty,553.688524590164,308.4140907386046,1.0,0.0,0.3333333333333333
1914,hall,corridor,522.7111111111111,121.09343166298984,1.0,0.0,0.5
1915,hall,flower,519.0,,1.0,,0.0714285714285714
1916,hall,pool,533.6,178.16675501504932,0.9454545454545454,0.22918388365077622,0.125
1917,hall,glasses,514.6307692307693,123.78327446978263,0.9846153846153847,0.12403473458920845,0.0909090909090909
1918,hall,surgery,535.8450704225352,108.3716683966174,0.971830985915493,0.16663312875171463,0.0476190476190476
1919,carrot,celery,496.48333333333335,117.46972082513204,0.9833333333333333,0.12909944487358058,0.0833333333333333
1920,carrot,pick,538.6304347826087,271.9986404129135,1.0,0.0,0.0625
1921,carrot,turnip,539.6022727272727,193.80120990409887,1.0,0.0,0.0714285714285714
1922,carrot,playing,583.4444444444445,383.7031615215285,1.0,0.0,0.0526315789473684
1923,arrogant,cocky,563.0142857142857,240.30713999398998,0.9714285714285714,0.1678015193509294,0.3333333333333333
1924,arrogant,proud,609.641975308642,200.13203820490457,1.0,0.0,0.3333333333333333
1925,arrogant,agenda,585.3548387096774,147.67070311723913,0.967741935483871,0.17960530202677494,0.1
1926,arrogant,cook,557.741935483871,163.2091020729885,0.967741935483871,0.17812704394997528,0.1
1927,cut,mower,493.55555555555554,185.79138906734164,1.0,0.0,0.0625
